epoch,accuracy,loss,val_accuracy,val_loss
0,0.7641040682792664,0.6379358172416687,0.7928240895271301,0.583890438079834
1,0.8003507852554321,0.5532152056694031,0.8067129850387573,0.5478571057319641
2,0.8167202472686768,0.5146167874336243,0.8321759104728699,0.5148482322692871
3,0.8342589735984802,0.4598706364631653,0.8368055820465088,0.4983983635902405
4,0.8263665437698364,0.45609942078590393,0.8356481194496155,0.4897385835647583
5,0.8441976308822632,0.4348978102207184,0.8252314925193787,0.4813525676727295
6,0.8538439273834229,0.39774104952812195,0.8344907164573669,0.4795607030391693
7,0.8582285642623901,0.37937694787979126,0.8333333134651184,0.4644128084182739
8,0.8620286583900452,0.3775450587272644,0.8310185074806213,0.48094573616981506
9,0.8661209940910339,0.37283092737197876,0.8460648059844971,0.4739017188549042
9,0.6617947816848755,0.8523948192596436,0.7881944179534912,0.5791693329811096
10,0.808827817440033,0.5376641154289246,0.8182870149612427,0.5125468373298645
11,0.834843635559082,0.4674125909805298,0.8518518805503845,0.4478791058063507
12,0.8561823964118958,0.4051080346107483,0.8599537014961243,0.43122613430023193
13,0.8707979917526245,0.36316534876823425,0.8576388955116272,0.4127655029296875
14,0.8892136812210083,0.3174000680446625,0.8634259104728699,0.39923742413520813
